F,K,vol,T,pv_p,pv,bp_error,delta_p,delta,vega_p,vega 
7.564611735971943710e-03,4.405392106384283663e-02,1.463089098455248177e-03,2.033063666691470317e+00,4.119076999425930197e-05,9.908272941479210518e-73,4.119076999425930197e-01,-1.814281795974279771e-02,8.361300992445123940e-69,-7.637897927035703890e-04,2.092073038573558204e-67
4.409867909328804569e-03,1.382247896543686155e-03,3.183890838688347054e-03,4.720526741940556548e+00,4.634087175617550292e-03,4.533699875027278475e-03,1.003873005902718107e+00,5.580121998958186280e-01,6.691876741051213662e-01,6.562384011660254979e-01,7.876067389391259166e-01
7.892370694349783514e-03,6.596153841650123292e-03,4.908202587697934119e-03,3.139613618349476276e+00,4.164765485295969169e-03,4.156103978908021884e-03,8.661506387947284780e-02,5.880142432212159820e-01,5.592408930084313834e-01,7.699534014757142275e-01,6.990759748327757261e-01
4.240918022212117333e-02,1.234489343326259682e-02,1.057571124033300156e-02,5.443575097583164268e-01,2.997568563888156068e-02,3.006439270098071673e-02,8.870706209915604212e-01,9.504638376650196285e-01,9.999416607339094432e-01,1.233513876098402684e-01,1.758596189581496517e-04
2.943698297311715673e-02,2.508606515463559367e-02,9.700885638046625320e-03,5.263740469834523594e-01,5.337494398150717176e-03,5.503336921060047841e-03,1.658425229093306585e+00,8.171788823575123484e-01,7.317750835574917678e-01,2.598718602851414206e-01,2.390960740524682993e-01
4.279851641045843980e-02,3.507354206844053718e-02,1.254349948913054125e-03,1.712726108937901115e+00,7.658367858458440744e-03,7.724974750081200180e-03,6.660689162275943431e-01,9.881673937731147994e-01,9.999987356990723830e-01,1.823150798094740899e-01,8.111576464524728166e-06
7.038537011094322601e-03,1.290214581552746355e-02,1.306507059272447868e-02,1.352216207824459004e-01,7.039200634824122754e-04,2.584086761125063778e-04,4.455113873699058757e+00,2.077663944694929099e-01,1.111417537797728949e-01,2.182252416720552313e-01,6.965905278939166223e-02
9.696993561523170949e-03,2.657841765898189684e-02,4.873143338254274336e-03,4.697592702010019217e+00,4.229963226721391439e-04,2.464593328367323840e-04,1.765369898354067546e+00,5.478444870030126090e-02,5.498651101498758936e-02,2.814479943926301297e-01,2.410579503580013438e-01
4.747918463037875680e-02,-6.210442998094353739e-05,1.481450716718177296e-02,1.784337955802848930e+00,4.762340161819349910e-02,4.759473622444013174e-02,2.866539375336735196e-01,9.629994806368403770e-01,9.918560402384800634e-01,1.649032456830169246e-01,2.974256951151876827e-02
4.465240691029107728e-02,2.137201900079085948e-02,1.371350406848361944e-02,6.533169561918052981e-01,2.340673266956189158e-02,2.335202705741343948e-02,5.470561214845209852e-01,1.008289445347522850e+00,9.821484462622458445e-01,-1.920480474658614947e-02,3.552923025962283210e-02
4.188818750450295364e-02,3.070405971733634887e-02,6.109721928733687427e-03,4.334549885717850159e+00,1.263842614266761505e-02,1.251096329839711079e-02,1.274628442705042719e+00,6.941964232324367989e-01,8.103650977524821108e-01,4.933669540296762857e-01,5.643033400029353608e-01
3.491652483144660341e-02,3.935489263814909849e-02,3.902272866715347094e-03,3.380941255332291728e+00,1.095804468285645206e-03,1.174140962228442057e-03,7.833649394279684763e-01,2.060712680835379840e-01,2.681007786728136222e-01,4.819752732934721728e-01,6.058189439816478172e-01
-4.937993385745786772e-03,2.244471410717780585e-02,4.271261344202143505e-03,4.736585421843736654e+00,3.197274060902886850e-05,4.298080740104137190e-06,2.767465986892473362e-01,-4.189511594349217341e-03,1.611157688971428300e-03,2.799395320336349122e-02,1.133527933801190858e-02
4.223452710792576642e-02,4.207021420419990859e-02,7.670862310778830268e-03,9.301098869419854864e-01,2.946961214920473457e-03,3.034238930547944989e-03,8.727771562747153045e-01,4.473768827032757467e-01,5.088600202128460426e-01,2.603109205903953449e-01,3.846538424879110130e-01
-2.213284563448616148e-03,1.591394372435549209e-02,8.426509191879595975e-03,6.813849948160484171e-01,4.265126548019457231e-05,9.987058606662887602e-06,3.266420687353168151e-01,-1.134361106307685925e-03,4.579279130822089608e-03,2.123694773445188380e-02,1.103620665296022388e-02
1.524479896130281030e-02,1.693332874052073944e-02,1.434651881963365169e-02,1.126070988761279645e+00,5.249833968059543741e-03,5.266559782279984364e-03,1.672581422044062127e-01,4.180279141691102818e-01,4.558429868386785766e-01,3.329891178250613537e-01,4.207476612336036870e-01
4.835145559462727949e-02,-5.332886561530129910e-03,2.420503154190903165e-03,3.550670963100311717e+00,5.363345904146719911e-02,5.368434215615740246e-02,5.088311469020334599e-01,1.006430073389430691e+00,1.000000000000000000e+00,1.156458239837916506e-02,6.202982574881416875e-31
4.089983385020085765e-02,3.912435906109156675e-02,1.299060539069686604e-02,4.519571695259820387e+00,1.201523868994293712e-02,1.192812567082320724e-02,8.711301911972988421e-01,4.670517168458629964e-01,5.256299326970427233e-01,7.474507035210967709e-01,8.463718699970906867e-01
1.283414252792049008e-02,1.715899773934959766e-02,5.084126167028133088e-03,7.189858890852800499e-01,4.249003245476966339e-04,3.569765341856813716e-04,6.792379036201525722e-01,1.806080362556068686e-01,1.578779820863325800e-01,2.296176185099873535e-01,2.045141905653095060e-01
5.626872376291809988e-03,4.082733897637117262e-03,1.118489057582485249e-02,1.572675742966042511e+00,6.478191283252083578e-03,6.401732856454440609e-03,7.645842679764296435e-01,4.332820396591473555e-01,5.438296978998335973e-01,5.768717777522219814e-01,4.972766122642170994e-01
-6.934357660524474894e-03,3.257779792763626503e-02,8.996725384717279422e-03,4.981920903409211121e+00,2.838811099582973924e-04,1.858594073181987522e-04,9.802170264009864020e-01,5.238898783907239287e-02,2.455416254782760016e-02,1.443615231925994558e-01,1.284964527436535664e-01
3.688647321927632922e-02,1.592614839289260148e-02,1.132872111215899383e-02,9.315612269617391528e-01,2.103865765923905798e-02,2.107597414038389974e-02,3.731648114484176215e-01,9.153732322607609495e-01,9.723780362369099928e-01,1.874955817978386785e-01,6.131448024363603949e-02
1.624760574035775951e-02,1.233066626595992303e-02,2.529318955467196265e-03,2.988833179435812060e+00,4.377692975416089781e-03,4.359521277006731671e-03,1.817169840935811131e-01,7.557340671359308315e-01,8.148099393376919686e-01,4.587728016537520603e-01,4.617685954389579850e-01
1.146964042802205673e-02,9.972282334103734977e-03,1.242347391527341000e-02,1.654677321095132381e-01,3.080698696021960323e-03,2.852624236910978467e-03,2.280744591109818753e+00,5.300574215022164637e-01,6.164980256952636850e-01,2.174888500726927520e-01,1.553113035380044860e-01
4.537341423271711027e-02,2.653051195031947210e-03,1.251076061875824874e-02,1.355043094433616480e+00,4.260602561840227953e-02,4.272739031359212847e-02,1.213646951898489368e+00,9.694884682763605932e-01,9.983237650492181592e-01,1.162224583577136650e-01,6.285520436136563666e-03
2.512522473255116018e-02,3.146007855326180686e-03,7.207294708625945623e-03,4.202614617074371672e+00,2.255331110505810061e-02,2.242463807447123147e-02,1.286730305868691193e+00,9.785952111306158718e-01,9.315690728272922883e-01,1.788941632413047211e-01,2.704869809682644011e-01
2.422811356095598556e-02,3.295325458594194207e-02,1.068564807767445959e-02,4.229745153069154995e+00,4.987529745158220812e-03,5.086820312900748424e-03,9.929056774252761342e-01,3.694753290284406577e-01,3.456756474458542172e-01,7.722649561830673415e-01,7.582964577224409197e-01
2.398556951834565631e-02,2.868599499366225603e-02,8.633980648541926192e-03,3.093983708418855283e+00,3.879195026222025632e-03,3.996393756246704142e-03,1.171987300246785102e+00,3.787589122857045187e-01,3.784688618972164020e-01,6.958189905888333415e-01,6.689102826860956474e-01
3.728258450655941303e-02,1.366775996819849515e-03,3.758778789986493701e-03,1.871327968701261391e+00,3.606289506834547964e-02,3.591580850974057659e-02,1.470865586049030505e+00,1.013612724399609588e+00,9.999999999985753618e-01,1.025712486079789765e-01,1.388172747143525164e-11
7.970724160079248680e-03,4.774212840239547978e-02,4.157454759832359889e-03,3.868470213114229672e+00,-8.629365970789712459e-06,8.996266188059096360e-10,8.630265597408517952e-02,8.767677733505568546e-03,5.758297255485198989e-07,-7.903527353078766346e-03,5.724941047656243385e-06
3.897875972804608347e-02,1.826239153652985808e-02,4.575770365730585411e-03,3.484559534513141710e+00,2.057553888844511347e-02,2.073788992862502303e-02,1.623510401799095559e+00,9.546814327537564981e-01,9.923533046031606242e-01,1.053234414941036645e-01,3.932310409317593680e-02
-5.404121854109782477e-03,2.417957927795631734e-02,2.885747491426778315e-03,2.304490041190392802e+00,-8.923433032197863879e-06,4.505852861377747858e-15,8.923433036703716514e-02,-1.566866973176987352e-02,7.233178251281329307e-12,-2.523826859889730795e-02,7.571349784808050559e-11
7.823601529568799742e-03,4.134755327795637536e-02,1.044608202404595163e-02,1.578990643653364501e+00,3.957620464962313678e-05,2.222985597214415096e-05,1.734634867747898712e-01,1.096109369285339129e-03,5.325462904041440224e-03,1.111977150882055392e-02,1.921872879639703949e-02
1.421703169537065319e-02,9.508833301036212840e-03,8.781709112747526982e-03,3.713133442469786161e+00,9.228126197766362004e-03,9.364591514563673155e-03,1.364653167973111536e+00,6.434410268053266657e-01,6.095824587237783643e-01,9.389745304300435302e-01,7.395549405933340426e-01
9.721922122929214580e-03,2.696148413533917126e-02,6.994610228873179153e-03,3.903675432890774566e+00,8.320450833288316889e-04,7.028181003765800053e-04,1.292269829522516789e+00,9.359345604029083165e-02,1.061148445023005482e-01,3.180697711103043779e-01,3.620203928102455615e-01
1.346711017996576887e-03,4.571571544375057500e-02,7.930729300905967755e-03,7.458730989869183370e-01,-1.225161012813509587e-05,4.706621916931829084e-14,1.225161017520131485e-01,1.221345567841937950e-02,4.650468636185818998e-11,4.954516917721420860e-02,2.661082952277567149e-10
3.120085268924741723e-02,3.178518524400085823e-03,9.938796920990602968e-03,2.433896273872245164e+00,2.815013303272144440e-02,2.823967390414629242e-02,8.954087142484801198e-01,9.525923720545967921e-01,9.646387430288413389e-01,1.497689794710461431e-01,1.215685065545517862e-01
2.734596657239773271e-02,4.977777423774885912e-02,6.054271874560938384e-03,2.667949364360031606e+00,7.391393489446923537e-05,3.970741931448504823e-05,3.420651557998418690e-01,2.038415790962154472e-02,1.165338535416000909e-02,5.551036560116506813e-02,4.973577739289403860e-02
1.567438067187351680e-02,4.036011094881633565e-02,5.999435981366438644e-03,3.062251441134435481e+00,5.502998616756411832e-05,3.303822904136222231e-05,2.199175712620189682e-01,1.538627657241919099e-02,9.353007081915878582e-03,4.346734843900785378e-02,4.399147519260002137e-02
4.632574251041397112e-02,2.835213638434112837e-02,1.354483640420007379e-02,1.113921422961837715e+00,1.878899705936560444e-02,1.868583798194629192e-02,1.031590774193125171e+00,1.056945783956841023e+00,8.956750057995774839e-01,-1.545378706233325843e-02,1.910195246015949089e-01
6.775347431586252120e-03,-7.452467963970895240e-03,3.210634653767531401e-03,4.676965709204409904e+00,1.412753049689565235e-02,1.427944981806786827e-02,1.519193211722159154e+00,9.482003168072697941e-01,9.797743124744481280e-01,1.980545269221093141e-01,1.057117384795632498e-01
3.264184039107079910e-02,9.093929889329667796e-03,2.775652140589613716e-03,1.695842628991775181e+00,2.350055919802743198e-02,2.354791050176048214e-02,4.735130373305015961e-01,1.057941704363329460e+00,9.999999999635830195e-01,-4.815712563153156690e-03,3.159235763543223784e-10
1.312784212162707194e-02,7.875962539592615622e-03,7.961325142763178014e-03,7.104954948256433367e-01,6.140216538406837767e-03,6.083560693886410145e-03,5.665584452042762287e-01,9.625671340971027057e-01,7.830736849428278079e-01,2.535307976708123801e-01,2.475658211872278636e-01
4.435782275713097411e-03,2.820831554224960402e-02,5.011888378344576955e-03,1.250639033845655668e+00,2.677949861595169123e-06,1.337458882887761495e-08,2.664575272766291428e-02,6.553151984049930198e-03,1.110704767912859863e-05,2.986647320558357896e-02,5.535184112891197678e-05
3.493037368404398185e-04,-8.463285667050750652e-03,6.197383535153154314e-03,2.754890183986654861e+00,1.008445034470589925e-02,9.930179880900327424e-03,1.542704638055718336e+00,8.278418472945496820e-01,8.042024175299455901e-01,5.873291257791367626e-01,4.587539501897215377e-01
2.338424347493522903e-02,1.523099760237107796e-02,6.945696233916537517e-03,4.964824339398490771e+00,1.122744532400462257e-02,1.108829037481430350e-02,1.391549491903190550e+00,9.180739230812924312e-01,7.008409377388310491e-01,9.508130941534913561e-01,7.737398398779105069e-01
4.658365342164225154e-02,2.544382973759873323e-02,6.105493848838424928e-03,2.242868997360660366e+00,2.098056995161520083e-02,2.117215061942174723e-02,1.915806678065463897e+00,9.957326694802759448e-01,9.896098057052643560e-01,-1.433608549460935709e-02,4.127001304895738798e-02
-3.085643938273105805e-03,4.787616435191745928e-02,4.389276015705303492e-03,2.370580347779235542e+00,2.275741026091029906e-05,2.023218153166560846e-17,2.275741026089006802e-01,-6.636715484250299210e-03,2.333254561568858412e-14,-3.283623209403881832e-02,2.755126116000689918e-13
-9.059754315751225237e-03,-9.727618464631245312e-03,2.455101585047017240e-03,4.913212138224449355e+00,2.764084721463264116e-03,2.521273403538841756e-03,2.428113179244223652e+00,6.288280752500566839e-01,5.488378874362987991e-01,7.496323176954549083e-01,8.776517713550435751e-01
4.076190294328208702e-02,4.387189291395612867e-02,2.486893072362080306e-03,3.649734517247968490e+00,8.578319105009054452e-04,7.325686387079106271e-04,1.252632717929948125e+00,2.160323367879187495e-01,2.563649735026003462e-01,3.918228101166811306e-01,6.151696476760997179e-01
4.281709900085019921e-02,-5.628767439242003678e-04,9.970225553015080872e-03,4.292922880460592686e-03,4.339653898700237405e-02,4.337997574477438223e-02,1.656324222799182566e-01,1.036892718617531406e+00,1.000000000000000000e+00,-2.155212028939267055e-01,0.000000000000000000e+00
3.773188508067531338e-02,4.977894364854214271e-02,7.160397462360776170e-03,7.525353930216573950e-01,1.160662649199849933e-04,6.193587466497405718e-05,5.413039025501094059e-01,1.728799883302036336e-02,2.622278410699470722e-02,4.801150824903085285e-02,5.276848004606327774e-02
4.426450626910710673e-02,1.317627552752871460e-02,1.272666915116309194e-02,4.896725949312566328e+00,3.308721086322160415e-02,3.300587121187972817e-02,8.133965134187598478e-01,8.823709533450859732e-01,8.651809795277245474e-01,4.101427254115160848e-01,4.800097507476037695e-01
-5.741407350474000970e-03,4.303658219048905886e-02,5.044924075253920392e-03,1.478869908402485223e+00,-7.230512093708320320e-05,6.946258302073330559e-19,7.230512093708389987e-01,-5.918639098093050888e-03,9.274523842374035065e-16,-2.452160654518968641e-02,9.104971223173208664e-15
-8.931395005082568006e-03,1.604641220391752471e-02,9.736747239529257997e-03,5.475391736368192541e-01,-1.336204326011017351e-05,4.805296126487196091e-07,1.384257287275889314e-01,1.711605062014988354e-02,2.633153203941720989e-04,3.702538793796502498e-02,7.248384647367771662e-04
-1.042382592761731744e-03,4.952791415088998034e-02,6.456106941291303233e-03,4.682403450351333873e+00,-4.697057058932439799e-05,5.039174812135094208e-07,4.747448807053791242e-01,-1.408718446910535958e-02,1.473878897831458620e-04,-5.022975706803437662e-03,1.232533301620969586e-03
4.235413913358433702e-02,4.277268684277172467e-02,3.971256445048814906e-03,2.073576908347932513e+00,2.071219010734877408e-03,2.078216317341707951e-03,6.997306606830541731e-02,5.276895835307996441e-01,4.708271122296234790e-01,6.018966685494527846e-01,5.729370434955032287e-01
3.555350725529225070e-02,-6.847022395519899302e-03,1.306243379974430727e-02,4.089953706998413097e+00,4.279439513268791517e-02,4.300724224657104938e-02,2.128471138831342202e+00,9.580394829679615976e-01,9.457583621810048413e-01,1.846318398565323371e-01,2.225149472886677471e-01
